FeatureName,Region,NGR,East,North,Lat,Long,LatLong,TreatmentOfRemains,MNIWithinDeposit,SexOfIndsWithin Deposit,AgeOfFindsWithinDeposit,ArtefactsInDepositList,SexSingleDeposits,AgeSingleDeposits,ArtefactsSingleDeposits,SexGroupDeposits,AgeGroupDeposits,ArtefactsGroupDeposits,SitesWithUnknownSex,TerminusPostQuemBC,TerminusAnteQuemBC,MedianBC,DecadeOfExcavation,generated
Etal Moor barrow cremation pit,Northumberland,NT9640,396000,640000,55.653514,-2.0651289,"55.653514,-2.0651289",Cremation,1,N/a,Adult,"Collared urn,Accessory Vessel",N/a,Adult,"Collared urn, Accessory Vessel",,,,N/a,2000,1550,1775,1860,107
Etal Moor barrow cremation pit,Northumberland,NT9640,396000,640000,55.653514,-2.0651289,"55.653514,-2.0651289",Cremation,1,N/a,Adult,"Collared urn,Bronze awl,Bone pin",N/a,Adult,"Collared urn, Bronze awl, Bone pin",,,,N/a,2000,1550,1775,1860,108
Farnham cist ,Northumberland,NT9206,392000,606000,55.347961,-2.1277005,"55.347961,-2.1277005",Crouched burial,N/a,N/a,N/a,Beaker,,,,,,,N/a,2200,2000,2100,,109
Farnham cremation,Northumberland,NT9206,392000,606000,55.347961,-2.1277005,"55.347961,-2.1277005",Cremation,N/a,N/a,N/a,Food Vessel,,,,,,,N/a,2000,1700,1850,,110
Fatfield barrow cist 1,Tyne and Wear,NZ30755372,430750,553720,54.877302,-1.5222961,"54.877302,-1.5222961",Crouched burial,1,N/a,Adult,,N/a,Adult,,,,,N/a,2300,1750,2025,1900,111
Fatfield barrow cist 2,Tyne and Wear,NZ30755372,430750,553720,54.877302,-1.5222961,"54.877302,-1.5222961",Crouched burial,1,N/a,Adult,Food Vessel,N/a,Adult,Food Vessel,,,,N/a,2150,1750,1950,1900,112
Fatfield barrow cist 3,Tyne and Wear,NZ30755372,430750,553720,54.877302,-1.5222961,"54.877302,-1.5222961",Crouched burial,1,Possible Male,Adult,,Possible Male,Adult,,,,,,2300,1750,2025,1900,113
Fawns barrow cremation deposit 1,Northumberland,NZ007853,400700,585300,55.162022,-1.9905533,"55.162022,-1.9905533",Cremation,1,Indet.,Adult,Flint flakes,Indet.,Adult,Flint flakes,,,,Indet.,2000,,2000,1877,114
Fawns barrow cremation deposit 2,Northumberland,NZ007853,400700,585300,55.162022,-1.9905533,"55.162022,-1.9905533",Cremation,1,Indet.,Child,Food Vessel,Indet.,Child,Food Vessel,,,,Indet.,2000,1700,1850,1877,115
Fawns barrow cremation deposit 3,Northumberland,NZ007853,400700,585300,55.162022,-1.9905533,"55.162022,-1.9905533",Cremation,1,Indet.,Indet.,Urn,Indet.,Indet.,Urn,,,,Indet.,2000,,2000,1877,116
Ford barrow cremation deposit 1,Northumberland,NT9538,395000,638000,55.635534,-2.0809832,"55.635534,-2.0809832",Cremation,N/a,Indet.,Indet.,,,,,,,,Indet.,2000,,2000,1860,117
Ford barrow cremation deposit 2,Northumberland,NT9538,395000,638000,55.635534,-2.0809832,"55.635534,-2.0809832",Cremation,N/a,Indet.,Indet.,,,,,,,,Indet.,2000,,2000,1860,118
