FeatureName,Region,NGR,East,North,Lat,Long,LatLong,TreatmentOfRemains,MNIWithinDeposit,SexOfIndsWithin Deposit,AgeOfFindsWithinDeposit,ArtefactsInDepositList,SexSingleDeposits,AgeSingleDeposits,ArtefactsSingleDeposits,SexGroupDeposits,AgeGroupDeposits,ArtefactsGroupDeposits,SitesWithUnknownSex,TerminusPostQuemBC,TerminusAnteQuemBC,MedianBC,DecadeOfExcavation
Blawearie cairn 1 cist C (Gw cist 4),Northumberland,NU08172229,408170.0,622290.0,55.494336,-1.8722454,"55.494336,-1.8722454",Crouched burial,N/a,N/a,N/a,,,,,,,,N/a,2300.0,1750.0,2025.0,1860.0
Blawearie cairn 1 cist D,Northumberland,NU08172229,408170.0,622290.0,55.494336,-1.8722454,"55.494336,-1.8722454",Crouched burial,N/a,N/a,N/a,,,,,,,,N/a,2300.0,1750.0,2025.0,1980.0
Blawearie cairn 1 cist E,Northumberland,NU08172229,408170.0,622290.0,55.494336,-1.8722454,"55.494336,-1.8722454",Multiple cremation,2.0,Indet.,Multiple age groups,Flint flakes,,,,Indet.,,Flint flakes,Indet.,2100.0,1750.0,1925.0,1980.0
Blawearie satellite cairn 1 pit,Northumberland,NU0822,408000.0,622000.0,55.491733,-1.8749443,"55.491733,-1.8749443",Unclear,N/a,Indet.,Indet.,,,,,,,,Indet.,2000.0,,2000.0,1980.0
Bluebell Inn cist,Northumberland,NU215315,421500.0,631500.0,55.576688,-1.6605574,"55.576688,-1.6605574",Crouched burial,1.0,Indet.,Child,Beaker,Indet.,Child,Beaker,,,,Indet.,2300.0,2100.0,2200.0,1860.0
Bowchester cist,Northumberland,NT9728,397000.0,628000.0,55.545699,-2.0491018,"55.545699,-2.0491018",Crouched burial,1.0,Possible Male,Adult,Bronze dagger,Possible Male,Adult,Bronze dagger,,,,,2200.0,1750.0,1975.0,1930.0
Bowsden West Farm cist,Northumberland,NT984414,398400.0,641400.0,55.666108,-2.0269979,"55.666108,-2.0269979",Crouched burial,N/a,N/a,N/a,Food Vessel,,,,,,,N/a,2150.0,1750.0,1950.0,1960.0
Brandon cist/barrow,County Durham,NZ20724003,420720.0,540030.0,54.754794,-1.6795822,"54.754794,-1.6795822",Crouched burial,1.0,N/a,N/a,Beaker,N/a,N/a,Beaker,,,,N/a,2300.0,2100.0,2200.0,1900.0
Broomhill cist,Northumberland,NZ076606,407600.0,560600.0,54.940010,-1.8829023,"54.940010,-1.8829023",Cremation,1.0,Indet.,Child,Food Vessel,Indet.,Child,Food Vessel,,,,Indet.,2150.0,1750.0,1950.0,1970.0
Broomhill kerbed cairn cist 1,Northumberland,NT965370,396500.0,637000.0,55.626563,-2.0571437,"55.626563,-2.0571437",Crouched burial,1.0,Indet.,Child,Food Vessel,Indet.,Child,Food Vessel,,,,Indet.,2150.0,1750.0,1950.0,1850.0
Broomhill kerbed cairn cremation deposit 1,Northumberland,NT965370,396500.0,637000.0,55.626563,-2.0571437,"55.626563,-2.0571437",Cremation,1.0,Indet.,Adolescent,"Collared urn,Flint flakes,Bone pin",Indet.,Adolescent,"Collared urn, Flint flakes, Bone pin",,,,Indet.,2000.0,1500.0,1750.0,1850.0
Broomhill kerbed cairn cremation deposit 2,Northumberland,NT965370,396500.0,637000.0,55.626563,-2.0571437,"55.626563,-2.0571437",Cremation,N/a,N/a,N/a,"Cinerary urn,Flint knife",,,,,,,N/a,2000.0,1500.0,1750.0,1850.0
